,State/Territory,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Top Venues,Label
0,New South Wales,Ashfield,-33.8889,151.1249,1,Dumpling Restaurant,Chinese Restaurant,Platform,Shanghai Restaurant,Cafe,Supermarket,Electronics Store,Japanese Restaurant,Asian Restaurant,Coffee Shop,"3 Chinese Restaurant, 3 Dumpling Restaurant",Multiple Restaurant/Cafe Venues and Shops
1,New South Wales,Auburn,-33.8606,151.0247,1,Playground,Garden,Tennis Court,Cafe,Wine Bar,Discount Store,Electronics Store,Dumpling Restaurant,Dry Cleaner,Donut Shop,"2 Playground, 1 Cafe",Multiple Restaurant/Cafe Venues and Shops
2,New South Wales,Bankstown,-33.9182,151.035,1,Vietnamese Restaurant,Cafe,Sports Bar,Department Store,Fast Food Restaurant,Convenience Store,Coffee Shop,Chinese Restaurant,Steakhouse,Grocery Store,"9 Vietnamese Restaurant, 5 Cafe",Multiple Restaurant/Cafe Venues and Shops
3,New South Wales,Blacktown,-33.7668,150.9053,1,Fast Food Restaurant,Juice Bar,Sandwich Place,Coffee Shop,Supermarket,Convenience Store,Park,Cafe,Portuguese Restaurant,Chinese Restaurant,"6 Fast Food Restaurant, 2 Coffee Shop",Multiple Restaurant/Cafe Venues and Shops
4,New South Wales,Burwood,-33.8774,151.1037,1,Cafe,Chinese Restaurant,Coffee Shop,Noodle House,Supermarket,Juice Bar,Department Store,Pharmacy,Fast Food Restaurant,Sandwich Place,"5 Cafe, 4 Chinese Restaurant",Multiple Restaurant/Cafe Venues and Shops
5,New South Wales,Campbelltown,-34.0666,150.8196,1,Fast Food Restaurant,Bakery,Pet Store,Pub,Playground,Gym / Fitness Center,Electronics Store,Cuban Restaurant,Cupcake Shop,Deli / Bodega,"1 Bakery, 1 Fast Food Restaurant",Multiple Restaurant/Cafe Venues and Shops
6,New South Wales,Canterbury,-33.9126,151.118,1,Supermarket,Platform,Cafe,Train Station,Fast Food Restaurant,Bakery,Camera Store,Japanese Restaurant,Pool,Korean Restaurant,"2 Cafe, 2 Platform",Multiple Restaurant/Cafe Venues and Shops
7,New South Wales,Fairfield,-33.8706,150.9564,1,Fast Food Restaurant,Asian Restaurant,Thai Restaurant,Pharmacy,Italian Restaurant,Shopping Mall,South American Restaurant,Lebanese Restaurant,Sandwich Place,Department Store,"3 Fast Food Restaurant, 2 Asian Restaurant",Multiple Restaurant/Cafe Venues and Shops
8,New South Wales,Gosford,-33.4267,151.3417,1,Pizza Place,Fast Food Restaurant,Bar,Sandwich Place,Cafe,Football Stadium,Playground,Hospital,Grocery Store,Dumpling Restaurant,"2 Pizza Place, 1 Bar",Multiple Restaurant/Cafe Venues and Shops
9,New South Wales,Hurstville,-33.9646,151.101,1,Fast Food Restaurant,Supermarket,Chinese Restaurant,Cafe,Bakery,Japanese Restaurant,Vietnamese Restaurant,Shopping Mall,Dim Sum Restaurant,Coffee Shop,"4 Fast Food Restaurant, 4 Supermarket",Multiple Restaurant/Cafe Venues and Shops
10,New South Wales,Kogarah,-33.9644,151.1373,1,Cafe,Coffee Shop,Thai Restaurant,Pub,Gym,Lebanese Restaurant,Deli / Bodega,Convenience Store,Pizza Place,Dessert Shop,"3 Cafe, 2 Coffee Shop",Multiple Restaurant/Cafe Venues and Shops
11,New South Wales,Liverpool,-33.9286,150.918,1,Fast Food Restaurant,Gym / Fitness Center,Cafe,Restaurant,Lebanese Restaurant,Pub,Italian Restaurant,Athletics & Sports,Department Store,Dessert Shop,"2 Fast Food Restaurant, 1 Athletics & Sports",Multiple Restaurant/Cafe Venues and Shops
12,New South Wales,Marrickville,-33.9087,151.1524,1,Vietnamese Restaurant,Grocery Store,Bar,Lounge,Cafe,Coffee Shop,Park,Fried Chicken Joint,Bus Station,Seafood Restaurant,"8 Vietnamese Restaurant, 3 Grocery Store",Multiple Restaurant/Cafe Venues and Shops
13,New South Wales,Parramatta,-33.8136,151.0034,1,Cafe,Thai Restaurant,Coffee Shop,Burger Joint,Chinese Restaurant,Mexican Restaurant,Fast Food Restaurant,Dessert Shop,Multiplex,Japanese Restaurant,"6 Cafe, 6 Thai Restaurant",Multiple Restaurant/Cafe Venues and Shops
14,New South Wales,Penrith,-33.7507,150.6877,1,Department Store,Performing Arts Venue,Supermarket,Bookstore,Tennis Court,Fast Food Restaurant,Wine Bar,Falafel Restaurant,Electronics Store,Dumpling Restaurant,"2 Department Store, 2 Performing Arts Venue",Multiple Restaurant/Cafe Venues and Shops
15,New South Wales,Pittwater,-33.6335,151.2919,1,Playground,Park,Business Service,Boat or Ferry,Bed & Breakfast,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,"1 Bed & Breakfast, 1 Boat or Ferry",Multiple Restaurant/Cafe Venues and Shops
16,New South Wales,Rockdale,-33.9529,151.1376,1,Coffee Shop,Bakery,Fast Food Restaurant,Falafel Restaurant,Liquor Store,Pizza Place,Pastry Shop,Convenience Store,Pub,Cafe,"3 Coffee Shop, 2 Bakery",Multiple Restaurant/Cafe Venues and Shops
17,New South Wales,Ryde,-33.8157,151.103,1,Cafe,Supermarket,Shopping Mall,Brazilian Restaurant,Department Store,Pizza Place,Dessert Shop,Clothing Store,Discount Store,Chocolate Shop,"2 Cafe, 2 Supermarket",Multiple Restaurant/Cafe Venues and Shops
18,New South Wales,Strathfield,-33.8715,151.094,1,Korean Restaurant,Cafe,Thai Restaurant,Vietnamese Restaurant,Coffee Shop,Cosmetics Shop,Convenience Store,Plaza,Chinese Restaurant,Pub,"15 Korean Restaurant, 5 Cafe",Multiple Restaurant/Cafe Venues and Shops
19,New South Wales,Waverley,-33.8997,151.2554,1,Pizza Place,Pub,Cafe,Convenience Store,Spa,Bowling Green,French Restaurant,Restaurant,Diner,Vietnamese Restaurant,"2 Cafe, 2 Convenience Store",Multiple Restaurant/Cafe Venues and Shops
20,New South Wales,Baulkham Hills,-33.7619,150.9929,0,Cafe,Pizza Place,Supermarket,Pharmacy,Dessert Shop,Dumpling Restaurant,Shopping Mall,Burger Joint,Food Court,Fast Food Restaurant,"4 Cafe, 2 Pizza Place",Numerous Cafe Venues
21,New South Wales,Camden,-34.0544,150.6958,0,Cafe,Park,Bar,Pizza Place,Supermarket,Fast Food Restaurant,Coffee Shop,Dessert Shop,Dim Sum Restaurant,Diner,"3 Cafe, 1 Bar",Numerous Cafe Venues
22,New South Wales,Concord,-33.855,151.1078,0,Cafe,Italian Restaurant,Thai Restaurant,Middle Eastern Restaurant,Sports Bar,Supermarket,Soccer Field,Golf Course,French Restaurant,Dry Cleaner,"5 Cafe, 3 Italian Restaurant",Numerous Cafe Venues
23,New South Wales,Drummoyne,-33.8511,151.1545,0,Cafe,Bakery,Cricket Ground,Grocery Store,Sandwich Place,Market,Pub,Sushi Restaurant,Convenience Store,Italian Restaurant,"2 Bakery, 2 Cafe",Numerous Cafe Venues
24,New South Wales,Hornsby,-33.7046,151.0987,0,Cafe,Gym,Bakery,Movie Theater,Electronics Store,Supermarket,Korean Restaurant,Asian Restaurant,Vietnamese Restaurant,Italian Restaurant,"9 Cafe, 2 Asian Restaurant",Numerous Cafe Venues
25,New South Wales,Hunters Hill,-33.8337,151.1437,0,Cafe,Pizza Place,Seafood Restaurant,Harbor / Marina,Bakery,Bar,Grocery Store,Discount Store,Electronics Store,Dumpling Restaurant,"2 Cafe, 1 Bakery",Numerous Cafe Venues
26,New South Wales,Lane Cove,-33.8148,151.1664,0,Cafe,Pizza Place,Gym,Supermarket,Bakery,Wine Bar,Organic Grocery,Pool,Chinese Restaurant,Pub,"5 Cafe, 4 Pizza Place",Numerous Cafe Venues
27,New South Wales,Leichhardt,-33.8837,151.157,0,Cafe,Italian Restaurant,Pub,Japanese Restaurant,Bakery,Thai Restaurant,Indie Movie Theater,Pizza Place,Chinese Restaurant,Plaza,"9 Cafe, 7 Italian Restaurant",Numerous Cafe Venues
28,New South Wales,Manly,-33.806,151.2948,0,Beach,Cafe,Park,Donut Shop,Farmers Market,Falafel Restaurant,Electronics Store,Dumpling Restaurant,Dry Cleaner,Wine Bar,"1 Beach, 1 Cafe",Numerous Cafe Venues
29,New South Wales,Mosman,-33.8291,151.2441,0,Cafe,Bakery,Pub,Grocery Store,Burger Joint,Fried Chicken Joint,Dry Cleaner,Park,Creperie,Japanese Restaurant,"8 Cafe, 3 Bakery",Numerous Cafe Venues
30,New South Wales,North Sydney,-33.8396,151.2054,0,Cafe,Gym,Coffee Shop,Japanese Restaurant,Bar,Vietnamese Restaurant,Juice Bar,Bakery,Sandwich Place,American Restaurant,"20 Cafe, 6 Gym",Numerous Cafe Venues
31,New South Wales,Randwick,-33.9132,151.242,0,Cafe,Thai Restaurant,Gym,Fast Food Restaurant,Supermarket,Lebanese Restaurant,Coffee Shop,Noodle House,Pub,Sandwich Place,"7 Cafe, 4 Thai Restaurant",Numerous Cafe Venues
32,New South Wales,Sutherland Shire,-34.0554,151.1549,0,Cafe,Bar,Fast Food Restaurant,Grocery Store,Boat or Ferry,Ice Cream Shop,Burger Joint,Thai Restaurant,Beach,Tapas Restaurant,"12 Cafe, 4 Bar",Numerous Cafe Venues
33,New South Wales,Woollahra,-33.8865,151.2422,0,Cafe,Fried Chicken Joint,Bar,Deli / Bodega,Bookstore,Park,Pub,Bakery,Italian Restaurant,Australian Restaurant,"5 Cafe, 1 Australian Restaurant",Numerous Cafe Venues
34,New South Wales,Holroyd,-33.831,150.997,3,Thrift / Vintage Store,Park,Wine Bar,Discount Store,Falafel Restaurant,Electronics Store,Dumpling Restaurant,Dry Cleaner,Donut Shop,Diner,"1 Park, 1 Thrift / Vintage Store",Thrift Stores and Park Venues
35,New South Wales,Ku-ring-gai,-33.7416,151.152,2,Nature Preserve,Theater,Wine Bar,Discount Store,Falafel Restaurant,Electronics Store,Dumpling Restaurant,Dry Cleaner,Donut Shop,Diner,"1 Nature Preserve, 1 Theater",Nature Reserve Venues
